Date;Close
07/01/2009;18,05
08/01/2009;18,41
09/01/2009;17,88
12/01/2009;17,73
13/01/2009;18,02
14/01/2009;17,1
15/01/2009;16,69
16/01/2009;16,95
19/01/2009;17,1
20/01/2009;17,33
21/01/2009;16,77
22/01/2009;16,76
23/01/2009;17,13
26/01/2009;17,9
27/01/2009;17,76
28/01/2009;17,76
29/01/2009;18,01
30/01/2009;17,3
02/02/2009;17,36
03/02/2009;17,53
04/02/2009;17,31
05/02/2009;17,15
06/02/2009;17,44
09/02/2009;17,49
10/02/2009;17,14
11/02/2009;17,5
12/02/2009;17,49
13/02/2009;17,71
16/02/2009;17,55
17/02/2009;17,03
18/02/2009;17,05
19/02/2009;17,01
20/02/2009;16,48
23/02/2009;16,1
24/02/2009;15,93
25/02/2009;16,05
26/02/2009;15,86
27/02/2009;15,45
02/03/2009;14,5
03/03/2009;13,72
04/03/2009;14,58
05/03/2009;14,19
06/03/2009;14,69
09/03/2009;15,1
10/03/2009;15,79
11/03/2009;15,81
12/03/2009;15,97
13/03/2009;16,13
16/03/2009;16,4
17/03/2009;16,19
18/03/2009;15,65
19/03/2009;15,74
20/03/2009;15,68
23/03/2009;16,22
24/03/2009;15,82
25/03/2009;16,22
26/03/2009;16,13
27/03/2009;16,01
30/03/2009;15,43
31/03/2009;15,71
01/04/2009;15,32
02/04/2009;15,92
03/04/2009;15,47
06/04/2009;15,22
07/04/2009;14,82
08/04/2009;14,7
09/04/2009;14,62
14/04/2009;14,39
15/04/2009;14,18
16/04/2009;14,52
17/04/2009;14,4
20/04/2009;14,42
21/04/2009;14,54
22/04/2009;14,72
23/04/2009;14,86
24/04/2009;15,67
27/04/2009;15,57
28/04/2009;15,4
29/04/2009;15,66
30/04/2009;15,73
01/05/2009;15,7
05/05/2009;15,89
06/05/2009;15,82
07/05/2009;15,9
08/05/2009;16,28
11/05/2009;15,93
12/05/2009;16,14
13/05/2009;16,39
14/05/2009;16,17
15/05/2009;16,03
18/05/2009;16,37
19/05/2009;16,36
20/05/2009;16,6
21/05/2009;16,23
22/05/2009;16,31
26/05/2009;16,47
27/05/2009;16,28
28/05/2009;16,45
29/05/2009;16,6
01/06/2009;16,88
02/06/2009;16,91
03/06/2009;16,63
04/06/2009;16,84
05/06/2009;17
08/06/2009;16,88
09/06/2009;16,71
10/06/2009;16,84
11/06/2009;16,69
12/06/2009;16,48
